route_id,calendar_id,shape_id,headsign,direction_id,block_id
9,2,10,,0,f4467047-147b-40ed-80a9-eb290d9a0bb1
6,2,8,,0,1445ec68-74a2-4710-9d23-43ba411096b6
13,2,2,,0,1af87077-0ede-4af3-a335-fe2f4b22c22a
9,2,10,,0,e1929f91-25e7-45bc-9327-5753adb00ca9
4,2,12,,0,7f3fd13f-00e3-4698-88ff-2967e1b8ac79
8,2,11,,0,0a456eb4-e254-4de9-b916-eaffe5144585
9,2,10,,0,f4467047-147b-40ed-80a9-eb290d9a0bb1
13,2,9,,0,4f048658-413e-4371-a22b-756df3482a3b
11,2,18,,0,966f2c56-3245-42b2-9a97-13a6cec1208f
2,2,14,,0,1897062f-651e-4955-98b6-d5f7985791ad
