shape_id,pt_lan,pt_lon,pt_sequence,shape_dist_traveled
12,30.62102798,-96.33828961,8,1901.68
12,30.61602298,-96.34341129,4,1052.95
12,30.62246431,-96.33755871,12,2165.86
16,30.61253477,-96.34268441,15,3002.45
1,30.65151397,-96.29135631,1,113.46
27,30.59545312,-96.32320352,9,2210.09
15,30.61118025,-96.34202995,21,2712.78
17,30.61349232,-96.35084101,17,3054.52
16,30.60707647,-96.34793752,26,4846.47
16,30.59929672,-96.3568344,1,251.92
16,30.60187701,-96.35305651,28,5650.67
12,30.61593715,-96.3434703,23,3582.35
16,30.61253477,-96.34333082,14,2940.63
21,30.58988888,-96.34654143,13,5148.45
25,30.610043,-96.33551084,0,0
2,30.61391074,-96.341578,15,3772.2
26,30.61280567,-96.34428837,13,2717.67
11,30.64521346,-96.28754087,27,16038.28
6,30.61905656,-96.3185861,12,5732.96
16,30.59811789,-96.3551996,2,455.9
3,30.62018309,-96.33776926,6,495.26
21,30.59392292,-96.34204202,15,5769.89
25,30.61096165,-96.3360969,16,5741.11
12,30.61100054,-96.34224855,30,4357.74
25,30.59521038,-96.32364609,10,2260.28
19,30.60908947,-96.33424752,19,7879.84
15,30.61279494,-96.34430312,19,2414.53
1,30.61837662,-96.33447283,19,9418.62
16,30.59905935,-96.35268503,3,718.18
22,30.61759722,-96.30206389,17,5484.19
8,30.62168915,-96.33922034,7,1203.55
12,30.61116818,-96.34197094,29,4325.31
20,30.61674986,-96.33512058,10,1852.33
1,30.61977942,-96.33497976,12,8124.36
22,30.6135017,-96.30216427,13,4359.16
2,30.62174413,-96.3581688,4,1385.97
12,30.62175352,-96.33867316,10,2027.47
18,30.61361033,-96.34126954,10,1747.78
22,30.61299745,-96.30486258,20,6155.01
22,30.61096568,-96.3361197,34,10143.17
18,30.61240334,-96.3483023,4,911.08
15,30.61195675,-96.34932958,7,1083.28
8,30.61491389,-96.33809783,14,2410.41
14,30.62030647,-96.31709479,10,5520.29
19,30.59392292,-96.34204202,15,5751.78
20,30.62324617,-96.33678355,18,3598.93
22,30.60950387,-96.30657114,11,3746.71
12,30.6149729,-96.34483554,24,3751.25
11,30.63407961,-96.29734569,8,3165.32
2,30.61350573,-96.34130575,14,3720.21
4,30.61195675,-96.34932958,20,2531.3
